"","AMZN","DIS","MCD","AIG","AXP","USB","LLY","MDT","PFE","CAT","EMR","UNP"
"1",-7.4375,1.393442,-0.530028000000001,-52.1666310000001,-1.370747,-0.335533999999999,-1.170657,0.196408000000002,-0.665191,-0.195042000000001,-0.208673999999998,-0.0113859999999999
"2",-12.1875,1.045082,0.407714000000002,2.300749,-0.887253999999999,-0.195729,0.461168000000001,1.702864,0.280079999999998,0.351075,0.322496000000001,0
"3",-4.1875,-1.045082,-0.366942999999999,29.612966,0.693618000000001,0.671068,1.06423299999999,1.081496,0.630182000000001,0.780165000000002,0.493229999999997,0.478335
"4",4,-0.398126000000001,0.652342999999998,74.8743850000001,0.505764999999997,0.363496,2.767006,3.342804,1.225353,0.526610999999999,0.815726000000002,-0.0569480000000002
"5",-0.375,3.7822,0.122313999999999,-19.025496,0.491312000000001,-0.0559229999999999,-1.667298,-0.245793999999997,-0.0350109999999972,-0.546115,-0.986459,0.193615000000001
"6",-2.4375,0.298595000000002,0.611571999999999,-17.1842320000001,0.332358999999997,-0.363495,0.212846000000006,0.147475999999997,-0.245070000000002,-0.253554000000001,-0.037941,0.0683329999999991
"7",-3.1875,-2.040399,1.1416,31.2999609999999,-0.187854999999999,0.475340000000001,-0.567591,-0.049158999999996,0.630181,0.273058000000002,0.246614999999998,-0.170837000000001
"8",2.375,0.895786999999999,-0.285399999999999,29.4587860000001,0.187854999999999,0.643106999999999,-0.461167000000003,1.130655,1.050303,0.175536999999998,0.550141,0.148059000000002
"9",-1.6875,-0.995317,0.193614,20.2529149999998,0.809226000000002,0,0.922334999999997,0.294953,0,-0.0780169999999991,-0.170733999999999,-0.102503
"10",-0.125,0.746487999999999,-0.723642999999999,-55.8489789999999,-1.835202,0.0838840000000012,-0.567591,0.393270999999999,-0.280080999999999,-0.526002000000002,-0.227643999999998,-0.307498000000001
"11",2.6875,0.199062000000001,0.570799999999998,-20.8666700000001,-0.606918,-0.195729,0.248321000000004,0.442430000000002,0.280080999999999,-0.196269999999998,0.455289,-0.136667
"12",-2.0625,-0.895783000000002,0.122313999999999,-8.89948800000002,0.570779000000002,-0.363495,-0.549883999999999,-0.737383000000001,-0.341363999999999,-0.686943000000001,-0.379408000000002,-0.296111
"13",-2.6875,-0.696724,-0.978513999999997,-13.8082659999999,0.0650380000000013,-0.223689,-1.152889,-0.344111999999996,-0.743949000000001,0.0785080000000011,-0.113821999999999,0.318889
"14",8.0625,0.447895000000003,-1.019286,-23.321599,0.0722530000000035,-0.111845000000001,-1.489926,-0.393271000000006,-0.385111000000002,-0.647689000000002,-0.588082,-0.239163
"15",-0.875,3.334307,0.203858,13.501973,1.473941,0.139806,0.106422999999999,1.179813,0.280081000000003,-0.529928,-0.284555000000001,-0.273334
"16",-4.4375,-0.696724,-2.650143,25.162684,0.317909999999998,0.475340000000001,0.248320999999997,1.228972,0,0.412166000000001,-0.208674999999999,0.159437
