"","AMZN","DIS","MCD","AIG","AXP","USB","LLY","MDT","PFE","CAT","EMR","UNP"
"100",-1,1,-1,-1,-1,-1,1,1,1,-1,1,-1
"101",1,0,1,-1,0,0,0,-1,-1,0,-1,-1
"102",1,1,-1,1,1,1,-1,1,-1,0,0,0
"103",-1,1,-1,-1,1,0,0,0,1,0,0,-1
"104",1,-1,0,1,0,1,1,-1,1,1,1,0
"105",1,-1,1,1,1,1,-1,-1,-1,1,1,1
"106",-1,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
"107",-1,0,-1,1,-1,0,1,1,1,0,0,-1
"108",1,-1,0,1,1,0,1,-1,0,0,0,0
"109",0,0,1,1,-1,-1,0,-1,1,0,-1,-1
"110",0,1,-1,-1,-1,-1,1,1,1,0,0,0
"111",-1,-1,-1,1,0,1,1,0,-1,0,0,0
"112",0,-1,0,1,1,0,1,1,1,-1,1,0
"113",-1,1,-1,-1,1,0,1,1,1,0,-1,-1
"114",0,1,1,1,-1,-1,0,0,1,0,-1,0
"115",0,-1,-1,-1,-1,-1,1,-1,1,-1,0,0
"116",0,1,0,-1,1,1,1,1,-1,0,0,0
"117",0,0,0,-1,1,0,0,0,-1,0,1,0
"118",0,0,0,1,-1,-1,0,0,1,0,0,0
"119",-1,0,0,-1,1,0,-1,-1,-1,0,0,0
"120",-1,-1,1,1,0,-1,1,-1,0,0,1,0
"121",0,1,1,0,1,1,1,0,1,0,1,0
"122",1,-1,-1,1,-1,0,-1,-1,1,0,1,0
"123",1,-1,-1,1,-1,0,1,1,-1,0,-1,1
"124",0,1,-1,1,-1,-1,1,1,-1,-1,-1,0
"125",-1,-1,1,-1,0,-1,-1,1,1,-1,-1,-1
"126",0,0,-1,1,0,1,-1,-1,-1,1,0,1
"127",0,-1,-1,1,0,0,1,-1,-1,0,0,1
"128",0,-1,1,-1,0,1,-1,1,-1,0,0,1
"129",0,1,0,1,1,1,-1,1,-1,0,0,1
"130",-1,0,0,-1,1,-1,1,1,1,0,1,0
"131",-1,-1,0,-1,-1,0,-1,1,1,1,1,0
"132",1,0,-1,0,1,-1,-1,-1,-1,0,0,0
"133",0,1,-1,-1,0,-1,-1,1,-1,0,-1,-1
"134",1,1,0,-1,1,1,-1,-1,-1,0,0,1
"135",-1,-1,0,-1,0,-1,1,1,1,0,-1,0
"136",0,-1,0,-1,-1,-1,1,1,-1,1,0,0
"137",-1,1,0,0,0,0,-1,-1,1,0,0,-1
"138",0,1,0,1,1,0,-1,1,-1,0,1,0
"139",0,-1,-1,-1,1,-1,1,-1,1,0,0,0
"140",-1,-1,-1,1,-1,0,1,1,1,0,0,0
"141",-1,1,1,1,-1,1,0,0,-1,0,0,-1
"142",-1,1,1,1,0,-1,-1,-1,-1,-1,-1,0
"143",-1,0,1,1,1,0,1,1,1,0,1,1
"144",-1,0,0,-1,-1,-1,1,-1,-1,0,-1,1
"145",0,1,-1,1,1,0,1,-1,-1,0,0,0
"146",0,1,1,1,0,1,1,1,1,0,1,0
"147",0,1,1,-1,0,0,0,0,1,0,1,0
"148",0,1,0,1,1,1,1,1,-1,0,-1,0
"149",1,0,0,1,1,1,-1,1,1,0,0,-1
"150",1,-1,0,1,-1,0,-1,0,-1,1,1,0
"151",-1,1,0,0,0,1,1,-1,0,1,1,0
"152",-1,-1,-1,-1,1,0,-1,1,-1,0,0,-1
"153",0,0,0,-1,-1,-1,0,0,-1,0,0,0
"154",1,0,1,1,1,1,0,-1,1,1,1,0
"155",1,1,0,1,0,1,1,-1,0,0,1,0
"156",1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
"157",1,-1,0,-1,-1,-1,0,1,1,0,0,0
"158",0,1,-1,1,1,0,1,-1,1,0,0,0
"159",0,-1,0,-1,0,0,-1,-1,-1,0,0,0
"160",-1,-1,0,1,1,1,1,0,1,0,1,0
"161",-1,-1,0,-1,-1,1,-1,-1,-1,0,-1,0
"162",1,-1,0,-1,-1,-1,1,1,1,0,0,-1
"163",0,1,-1,-1,-1,0,-1,0,0,0,0,0
"164",0,0,0,-1,0,0,0,1,1,0,1,0
"165",-1,0,0,1,1,0,-1,0,-1,0,0,-1
"166",0,1,0,-1,-1,-1,-1,0,-1,0,-1,0
"167",1,0,0,1,0,0,0,1,-1,0,-1,-1
"168",-1,1,-1,1,0,1,-1,-1,1,0,0,0
"169",0,0,-1,-1,-1,0,0,1,0,0,0,0
"170",1,-1,0,1,1,0,-1,-1,-1,0,1,0
"171",0,1,1,-1,0,1,-1,0,-1,0,1,0
"172",-1,1,-1,-1,-1,0,1,1,1,0,-1,-1
"173",0,-1,-1,1,1,-1,0,0,0,0,0,0
"174",0,-1,-1,1,1,0,1,0,1,0,0,0
"175",0,-1,1,1,-1,0,1,-1,-1,0,-1,0
"176",0,1,-1,-1,0,1,1,-1,1,0,0,0
"177",1,-1,0,1,-1,0,-1,1,1,0,0,0
"178",-1,0,1,-1,-1,-1,-1,0,0,-1,-1,0
"179",-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,0
"180",-1,0,-1,1,1,0,1,-1,-1,0,-1,0
"181",-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,0
"182",1,0,-1,1,0,-1,1,1,1,0,-1,0
"183",1,1,1,1,1,1,1,1,1,0,1,0
"184",-1,0,1,1,1,0,1,1,0,0,1,0
"185",0,0,1,-1,-1,0,0,-1,-1,0,1,-1
"186",-1,0,0,1,-1,1,-1,0,-1,-1,0,0
"187",1,1,0,1,1,0,1,1,1,0,0,1
"188",-1,-1,0,1,0,-1,-1,1,1,-1,0,0
"189",-1,1,0,1,1,0,0,-1,-1,1,0,0
"190",-1,0,0,-1,-1,-1,1,1,0,0,0,0
"191",1,1,0,-1,-1,-1,1,-1,-1,0,-1,1
"192",-1,1,0,1,0,-1,1,1,1,0,0,1
"193",-1,-1,0,-1,-1,0,-1,-1,0,0,-1,-1
"194",-1,0,0,-1,-1,-1,0,0,-1,0,-1,-1
"195",0,1,0,-1,-1,-1,1,0,1,-1,0,1
"196",-1,-1,0,1,-1,-1,1,-1,-1,0,-1,0
"197",-1,-1,-1,-1,-1,-1,0,1,1,-1,0,0
"198",1,1,1,1,1,1,-1,-1,-1,0,1,0
"199",-1,-1,0,-1,1,1,1,0,1,0,1,0
"200",-1,-1,-1,-1,-1,-1,-1,1,1,-1,0,0
"201",1,0,0,1,1,0,0,1,-1,0,-1,-1
